step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
18100,0.16232,1.63842e-03,4.87547e+01,3.57299e-01,5.24952e-01,3.01523e-01,0.00732850,2.39355e+02,1.31997e-07
18200,0.17132,1.85119e-03,4.91878e+01,3.04438e-01,5.19579e-01,3.01976e-01,0.00618930,2.40372e+02,1.67161e-07
18300,0.12958,1.04202e-03,5.43942e+01,2.85274e-01,5.07059e-01,2.23719e-01,0.00524457,2.41386e+02,4.77866e-08
18400,0.23534,3.49284e-03,4.97957e+01,3.52743e-01,5.56442e-01,1.79755e-01,0.00708380,2.42397e+02,-1.55949e-08
18500,0.24982,3.88594e-03,4.03493e+01,3.57079e-01,5.66686e-01,2.54109e-01,0.00884969,2.43405e+02,-1.86823e-07
18600,0.14983,1.36678e-03,4.28975e+01,3.22860e-01,5.34779e-01,2.94412e-01,0.00752632,2.44411e+02,-9.20121e-08
18700,0.18932,2.24366e-03,5.43221e+01,3.37695e-01,5.32873e-01,2.65822e-01,0.00621654,2.45414e+02,-2.23892e-07
18800,0.23661,3.48656e-03,4.77594e+01,3.76356e-01,5.61191e-01,1.95561e-01,0.00788024,2.46414e+02,7.32375e-08
18900,0.20568,2.64828e-03,4.56596e+01,3.34106e-01,5.11385e-01,2.17862e-01,0.00731732,2.47412e+02,-8.31169e-08
19000,0.16208,1.63748e-03,5.19522e+01,2.83769e-01,4.84059e-01,3.01566e-01,0.00546211,2.48406e+02,-1.71558e-07
19100,0.13961,1.21044e-03,5.16577e+01,2.96127e-01,4.61063e-01,2.76562e-01,0.00573250,2.49398e+02,6.42476e-08
19200,0.18202,2.04317e-03,4.56363e+01,3.67352e-01,4.56810e-01,2.03180e-01,0.00804956,2.50387e+02,-2.40636e-08
